element,integration_point,centroid_x,centroid_y,S11,S22,S12
290,1,0.216666668653488,0.383333335320155,95817385.21542545,-270740.85716279596,1137952.825296253
291,1,0.283333341280619,0.366666664679845,99038548.64942737,12247.33188714087,337383.17212563945
292,1,0.26666667064031,0.383333335320155,97007341.88867193,-348235.3052571118,981299.5484832122
293,1,0.333333333333333,0.366666664679845,99300009.69184308,-53732.13073254749,314280.3708308305
294,1,0.316666672627131,0.383333335320155,98055649.17320846,-282622.5109785311,710924.5389653444
295,1,0.383333335320155,0.366666664679845,99529154.71386135,-66443.85313606635,241899.78126707717
296,1,0.366666664679845,0.383333335320155,98833409.65379697,-193712.14214638248,463480.29832563316
297,1,0.433333327372869,0.366666664679845,99704071.30692843,-57570.80516637862,166661.91225474942
298,1,0.416666666666667,0.383333335320155,99353079.31122375,-119266.47392736003,277770.0428220063
299,1,0.48333332935969,0.366666664679845,99825708.40065753,-42748.70180368051,105737.85861637082
300,1,0.466666658719381,0.383333335320155,99673068.85490727,-66871.5407727249,153327.73142537352
301,1,0.533333341280619,0.366666664679845,99904301.15380952,-28783.96330846846,62344.7409218691
302,1,0.51666667064031,0.383333335320155,99855606.45877755,-33779.284367676824,76799.74525415446
303,1,0.583333353201548,0.366666664679845,99951823.37780648,-17944.404984425753,34052.19100741351
