Elem,xc,yc,s11,s22,s12,e11,e22,g12
138,0.847222222222222,0.106666666666667,99998341.325413,-855.914552848786,2754.32762127784,0.000476183800475137,-0.000142858849105604,3.41011991205828e-08
139,0.902777777777778,0.0933333333333333,100000508.344869,1290.92537168041,1836.69706921483,0.000476191052701224,-0.000142851721800423,2.27400589521837e-08
140,0.888888888888889,0.106666666666667,99998943.1095424,215.106656588614,2558.3348805967,0.000476185136083549,-0.00014285460869622,3.16746223311972e-08
141,0.944444444444445,0.0933333333333333,100000425.86285,1902.5174584426,1460.55727730537,0.000476189786226724,-0.000142848691625697,1.80830900999712e-08
142,0.930555555555555,0.106666666666667,99999361.7529507,946.947796292603,2006.98632223412,0.000476186084136247,-0.000142851721800423,2.48484020848034e-08
143,0.986111111111111,0.0933333333333333,100000303.684761,2641.13997508585,644.25924993532,0.000476188149251277,-0.000142844999835491,7.97654309443729e-09
144,0.972222222222222,0.106666666666667,99999490.3443849,1621.86191901192,1133.8631235297,0.000476185732313377,-0.000142848691625697,1.40383053389391e-08
145,0.0277777777777778,0.133333333333333,94510778.2765661,18784079.1228816,6613242.71582826,0.000423216926379532,-4.55674017147059e-05,8.18782431483499e-05
146,0.0138888888888889,0.146666666666667,96772337.0877094,29031701.1263128,3405628.58587184,0.000419346794046741,0,4.21649253488894e-05
147,0.0694444444444444,0.133333333333333,98270880.7520882,11594166.8529821,5336813.4581719,0.000451393479505684,-8.51766541554492e-05,6.60748332916521e-05
148,0.0555555555555556,0.146666666666667,99612424.7929909,20314573.077809,2776221.12891456,0.000445324061284039,-4.55674017147059e-05,3.43722615960851e-05
149,0.111111111111111,0.133333333333333,100584645.532791,6360944.45808486,3433311.77123272,0.000469887439025551,-0.000113402139055964,4.25076695485956e-05
150,0.0972222222222222,0.146666666666667,101376102.365623,12525733.3370427,1668621.22041102,0.000464849439831003,-8.51766541554492e-05,2.06591198717555e-05
151,0.152777777777778,0.133333333333333,101363553.275216,3017084.60070585,1723841.30714086,0.000478373466166686,-0.000130438006580281,2.13427971360296e-05
152,0.138888888888889,0.146666666666667,102104041.417483,6816763.22349255,562928.561701081,0.000476471487859218,-0.000113402139055964,6.96959171629909e-06
153,0.194444444444444,0.133333333333333,101334710.926222,1105351.96550686,575158.520546947,0.000480967168269381,-0.000139500291963618,7.12101025439078e-06
154,0.180555555555556,0.146666666666667,102147854.128477,3252374.8566843,-195240.036685283,0.000481772103197486,-0.000130438006580281,-2.41725759705588e-06
155,0.236111111111111,0.133333333333333,101066358.459789,122379.003944874,-48518.5954961537,0.000481093546469551,-0.000143797754923771,-6.0070642042857e-07
156,0.222222222222222,0.146666666666667,101858840.443894,1262590.82080859,-562193.367332028,0.000483238396179295,-0.000139500291963618,-6.96048930982511e-06
157,0.277777777777778,0.133333333333333,100777147.115474,-314045.54806916,-319354.785747717,0.000480339813237596,-0.000145462808012912,-3.95391639497174e-06
158,0.263888888888889,0.146666666666667,101462651.173353,241266.81801407,-656357.214719604,0.000482810814894995,-0.000143797754923771,-8.12632742033795e-06
159,0.319444444444444,0.133333333333333,100535071.866155,-452498.681693625,-388994.469158847,0.000479384864146016,-0.000145776286864477,-4.81612199910953e-06
160,0.305555555555556,0.146666666666667,101077009.131395,-224086.943293091,-602970.104870264,0.000481639215306583,-0.000145462808012912,-7.4653441555366e-06
161,0.361111111111111,0.133333333333333,100352472.747947,-443434.372636825,-359766.025305477,0.000478502395522561,-0.000145472267604861,-4.45424602759162e-06
